3x3 | 149x149) batch	1	density	0.5	im2col	0.146014	csr	0	percent	100
3x3 | 149x149) batch	1	density	0.55	im2col	0.487079	csr	0	percent	100
3x3 | 149x149) batch	1	density	0.6	im2col	0.515529	csr	0	percent	100
3x3 | 149x149) batch	1	density	0.65	im2col	0.663687	csr	0	percent	100
3x3 | 149x149) batch	1	density	0.7	im2col	0.642385	csr	0	percent	100
3x3 | 149x149) batch	1	density	0.75	im2col	2.00983	csr	0	percent	100
3x3 | 149x149) batch	1	density	0.8	im2col	0.180075	csr	0	percent	100
3x3 | 149x149) batch	1	density	0.85	im2col	1.36188	csr	0	percent	100
3x3 | 149x149) batch	1	density	0.9	im2col	0.769094	csr	0	percent	100
3x3 | 149x149) batch	1	density	0.95	im2col	0.672107	csr	0	percent	100
